code,locale,name,descr
URCH,de,"User Research","Erforschung und Sammlung von Benutzerbedürfnissen und -daten (UX)"
URCH,en,"User Research","Research and collection of user needs and data (UX)"
DSGN,de,"Design Thinking/Ideation","Kreative Ideenfindung und Problemlösung"
DSGN,en,"Design Thinking/Ideation","Creative idea generation and problem solving"
CONC,de,"Concept & Wireframing","Erstellung von Konzepten, User Flows und Wireframes (UX)"
CONC,en,"Concept & Wireframing","Creation of concepts, user flows, and wireframes (UX)"
ARCH,de,"Solution Architecture","Entwurf der gesamtheitlichen technischen Lösung"
ARCH,en,"Solution Architecture","Design of the overall technical solution"
BDEV,de,"API/Backend Development","Implementierung der Geschäftslogik, Datenbank und APIs"
BDEV,en,"API/Backend Development","Implementation of business logic, database, and APIs"
FDEV,de,"Frontend Development","Implementierung der Benutzeroberfläche (UI)"
FDEV,en,"Frontend Development","Implementation of the user interface (UI)"
SCON,de,"SAP Customizing/Config","Konfiguration und Customizing spezifischer SAP-Module"
SCON,en,"SAP Customizing/Config","Configuration and customizing of specific SAP modules"
SDEV,de,"SAP ABAP/Fiori Development","Entwicklung von kundenspezifischen SAP-Lösungen (ABAP, Fiori)"
SDEV,en,"SAP ABAP/Fiori Development","Development of custom SAP solutions (ABAP, Fiori)"
CINT,de,"Continuous Integration","Automatisierte Integration und Bauen der Software"
CINT,en,"Continuous Integration","Automated integration and building of software"
DEPL,de,"Deployment/Release","Automatisierte Bereitstellung auf Test- oder Produktivsystemen"
DEPL,en,"Deployment/Release","Automated deployment to test or production systems"
INFR,de,"Infrastructure/Cloud","Einrichtung und Wartung der Cloud/SAP-Infrastruktur"
INFR,en,"Infrastructure/Cloud","Setup and maintenance of Cloud/SAP infrastructure"
MONI,de,"Monitoring/Logging","Überwachung der Anwendung und Analyse von Logs"
MONI,en,"Monitoring/Logging","Application monitoring and log analysis"
TEST,de,"Testing/QA","Qualitätssicherung, Testen von Funktionalitäten und Regressionstests"
TEST,en,"Testing/QA","Quality assurance, functional and regression testing"
DOKU,de,"Documentation/Knowledge","Erstellung von technischer und Anwender-Dokumentation"
DOKU,en,"Documentation/Knowledge","Creation of technical and user documentation"
PLAN,de,"Sprint Planning","Planung der Aufgaben für den nächsten Sprint (Agile)"
PLAN,en,"Sprint Planning","Planning tasks for the next sprint (Agile)"
DAIL,de,"Daily Standup","Kurzes, tägliches Team-Meeting zur Abstimmung"
DAIL,en,"Daily Standup","Short, daily team meeting for synchronization"
REFI,de,"Refinement/Grooming","Detaillierung und Schätzung von Backlog-Items"
REFI,en,"Refinement/Grooming","Detailing and estimation of backlog items"
RETR,de,"Retrospective/Lessons","Rückblick auf den abgeschlossenen Sprint oder Projekte"
RETR,en,"Retrospective/Lessons","Review of the completed sprint or projects"
ANAL,de,"Process Analysis (Lean)","Analyse und Optimierung bestehender Geschäftsprozesse"
ANAL,en,"Process Analysis (Lean)","Analysis and optimization of existing business processes"