code,locale,name
BW,de,"Baden-Württemberg"
BY,de,"Bayern"
BE,de,"Berlin"
BB,de,"Brandenburg"
HB,de,"Bremen"
HH,de,"Hamburg"
HE,de,"Hessen"
MV,de,"Mecklenburg-Vorpommern"
NI,de,"Niedersachsen"
NW,de,"Nordrhein-Westfalen"
RP,de,"Rheinland-Pfalz"
SL,de,"Saarland"
SN,de,"Sachsen"
ST,de,"Sachsen-Anhalt"
SH,de,"Schleswig-Holstein"
TH,de,"Thüringen"
BW,en,"Baden-Württemberg"
BY,en,"Bavaria"
BE,en,"Berlin"
BB,en,"Brandenburg"
HB,en,"Bremen"
HH,en,"Hamburg"
HE,en,"Hesse"
MV,en,"Mecklenburg-Western Pomerania"
NI,en,"Lower Saxony"
NW,en,"North Rhine-Westphalia"
RP,en,"Rhineland-Palatinate"
SL,en,"Saarland"
SN,en,"Saxony"
ST,en,"Saxony-Anhalt"
SH,en,"Schleswig-Holstein"
TH,en,"Thuringia"